,party,positive,neutral,negative,positive_rank,neutral_rank,negative_rank,session
606,AfD,0.19163179916318,0.693723849372385,0.114644351464435,6,1,3,19104
607,DIE LINKE,0.196026490066225,0.611920529801324,0.19205298013245,5,6,1,19104
608,CDU/CSU,0.274459320288362,0.639546858908342,0.085993820803296,1,3,6,19104
609,FDP,0.267088607594937,0.637974683544304,0.09493670886076,2,4,4,19104
610,BÜNDNIS 90/DIE GRÜNEN,0.228070175438596,0.628070175438596,0.143859649122807,4,5,2,19104
611,SPD,0.251181102362205,0.655905511811024,0.092913385826772,3,2,5,19104
612,AfD,0.180451127819549,0.693609022556391,0.12593984962406,6,1,4,19105
613,DIE LINKE,0.217877094972067,0.533519553072626,0.248603351955307,5,6,1,19105
614,CDU/CSU,0.241639697950378,0.660194174757282,0.098166127292341,3,2,5,19105
615,FDP,0.229957805907173,0.630801687763713,0.139240506329114,4,4,2,19105
616,BÜNDNIS 90/DIE GRÜNEN,0.283185840707965,0.588495575221239,0.128318584070796,1,5,3,19105
617,SPD,0.273865414710485,0.641627543035994,0.084507042253521,2,3,6,19105
618,AfD,0.238907849829352,0.617747440273037,0.143344709897611,4,5,2,19106
619,DIE LINKE,0.234146341463415,0.575609756097561,0.190243902439024,5,6,1,19106
620,CDU/CSU,0.255220417633411,0.626450116009281,0.118329466357309,2,3,4,19106
621,FDP,0.241706161137441,0.635071090047393,0.123222748815166,3,2,3,19106
622,BÜNDNIS 90/DIE GRÜNEN,0.206896551724138,0.681034482758621,0.112068965517241,6,1,5,19106
623,SPD,0.272445820433436,0.625386996904025,0.102167182662539,1,4,6,19106
624,AfD,0.216131558339859,0.660140955364135,0.123727486296006,4,3,3,19107
625,DIE LINKE,0.168621700879765,0.620234604105572,0.211143695014663,6,6,1,19107
626,CDU/CSU,0.245293168370091,0.675632060247445,0.079074771382464,2,1,6,19107
627,FDP,0.225027442371021,0.67178924259056,0.103183315038419,3,2,5,19107
628,BÜNDNIS 90/DIE GRÜNEN,0.194656488549618,0.641221374045801,0.16412213740458,5,4,2,19107
629,SPD,0.258536585365854,0.638211382113821,0.103252032520325,1,5,4,19107
630,AfD,0.21218487394958,0.659663865546218,0.128151260504202,5,1,3,19108
631,DIE LINKE,0.179558011049724,0.638121546961326,0.18232044198895,6,4,1,19108
632,CDU/CSU,0.264187866927593,0.652641878669276,0.083170254403131,3,3,5,19108
633,FDP,0.237113402061856,0.631443298969072,0.131443298969072,4,5,2,19108
634,BÜNDNIS 90/DIE GRÜNEN,0.348214285714286,0.5625,0.089285714285714,1,6,4,19108
635,SPD,0.285714285714286,0.657657657657658,0.056628056628057,2,2,6,19108
